Use,source,title,link,Notes,date,
,White House,"Readout of President Biden’s Meeting with Prime Minister Kaja Kallas of Estonia, President Egils Levits of Latvia, and President Gitanas Nauseda of Lithuania",https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/14/readout-of-president-bidens-meeting-with-prime-minister-kaja-kallas-of-estonia-president-egils-levits-of-latvia-and-president-gitanas-nauseda-of-lithuania/,,6/14/2021,
,White House,"Press Gaggle by Press Secretary Jen Psaki and National Security Advisor Jake Sullivan En Route Brussels, Belgium",https://www.whitehouse.gov/briefing-room/press-briefings/2021/06/13/press-gaggle-by-press-secretary-jen-psaki-and-national-security-advisor-jake-sullivan-en-route-brussels-belgium/,,6/13/2021,
x,White House,"Readout of President Joseph R. Biden, Jr. Call with Prime Minister Bennett of Israel",https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/13/readout-of-president-joseph-r-biden-jr-call-with-prime-minister-bennett-of-israel/,,6/13/2021,
x,White House,FACT SHEET: United States and G7+ Partners Will Provide More than 2 Billion Vaccines for the World,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/13/fact-sheet-united-states-and-g7-partners-will-provide-more-than-2-billion-vaccines-for-the-world/,,6/13/2021,
x,White House,FACT SHEET: NATO Summit: Revitalizing the Transatlantic Alliance,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/13/fact-sheet-nato-summit-revitalizing-the-transatlantic-alliance/,,6/13/2021,
x,White House,"Statement by President Joseph R. Biden, Jr. on the New Government of the State of Israel",https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/13/statement-from-president-joseph-r-biden-jr-on-the-new-government-of-the-state-of-israel/,,6/13/2021,
,White House,Remarks by President Biden in Press Conference,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/06/13/remarks-by-president-biden-in-press-conference-2/,,6/13/2021,
,White House,CARBIS BAY G7 SUMMIT COMMUNIQUÉ,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/13/carbis-bay-g7-summit-communique/,,6/13/2021,
x,White House,"FACT SHEET: G7 to Announce Joint Actions on Forced Labor in Global Supply Chains, Anticorruption, and Ransomware",https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/13/fact-sheet-g7-to-announce-joint-actions-on-forced-labor-in-global-supply-chains-anticorruption-and-ransomware/,,6/13/2021,
,White House,Readout of President Biden’s Meeting with President Cyril Ramaphosa of South Africa,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/13/readout-of-president-bidens-meeting-with-president-cyril-ramaphosa-of-south-africa/,,6/13/2021,
,Supreme Court,Greer v. United States (19-8709),opinions/20pdf/19-8709_n7io.pdf,,14-Jun-21,
x,IRS,      New FAQs available to aid families and small business under the American Rescue Plan  ,https://www.irs.gov/newsroom/new-faqs-available-to-aid-families-and-small-business-under-the-american-rescue-plan,"IR-2021-128, June 11, 2021 — The Internal Revenue Service today posted two new, separate sets of frequently-asked-questions (FAQs) to assist families and small and mid-sized employers in claiming credits under the American Rescue Plan (ARP).",,
,IRS,      More than 2.3 million additional Economic Impact Payments disbursed under the American Rescue Plan; total payments top 169 million  ,https://www.irs.gov/newsroom/more-than-2-point-3-million-additional-economic-impact-payments-disbursed-under-the-american-rescue-plan-total-payments-top-169-million,"IR-2021-127, June 9, 2021 — The Internal Revenue Service, the U.S. Department of the Treasury, and the Bureau of the Fiscal Service announced today they have disbursed more than 2.3 million additional Economic Impact Payments under the American Rescue Plan.",,
,IRS,"      IRS Procurement office to hire 80 new employees nationwide, including contract specialists  ",https://www.irs.gov/newsroom/irs-procurement-office-to-hire-80-new-employees-nationwide-including-contract-specialists,"IR-2021-126, June 8, 2021 — The Internal Revenue Service is looking to hire motivated acquisition professionals interested in providing America’s taxpayers top quality service. ",,
,IRS,      IRS reminder: Approaching June 15 deadline for second quarter estimated tax payments  ,https://www.irs.gov/newsroom/irs-reminder-approaching-june-15-deadline-for-second-quarter-estimated-tax-payments,"IR-2021-125, June 8, 2021 — The Internal Revenue Service reminds taxpayers who pay estimated taxes that they have until June 15 to pay their estimated tax payment for the second quarter of tax year 2021 without penalty. 
",,
,IRS,      IRS sending letters to more than 36 million families who may qualify for monthly Child Tax Credits; payments start July 15  ,https://www.irs.gov/newsroom/irs-sending-letters-to-more-than-36-million-families-who-may-qualify-for-monthly-child-tax-credits-payments-start-july-15,"IR-2021-124, June 7, 2021 — The Internal Revenue Service has started sending letters to more than 36 million American families who, based on tax returns filed with the agency, may be eligible to receive monthly Child Tax Credit payments starting in July.",,
,Defense Dept,"DOD Statement on the Appointment of Benjamin ""Benny"" Gantz as Minister of Defense in Israel's 36th Government",https://www.defense.gov/Newsroom/Releases/Release/Article/2656093/dod-statement-on-the-appointment-of-benjamin-benny-gantz-as-minister-of-defense/,,idate,
,Defense Dept,Secretary Austin Travels to Brussels for the NATO Summit,https://www.defense.gov/Newsroom/Advisories/Advisory/Article/2656078/secretary-austin-travels-to-brussels-for-the-nato-summit/,,idate,
,Defense Dept,Readout of Secretary of Defense Lloyd J. Austin III's Call With U.K. Secretary of State for Defense Ben Wallace,https://www.defense.gov/Newsroom/Releases/Release/Article/2655984/readout-of-secretary-of-defense-lloyd-austins-call-with-uk-secretary-of-state-f/,,idate,
,Defense Dept,Official Says Input From Allies on Nuclear Posture Review to Be Important,https://www.defense.gov/Explore/News/Article/Article/2655892/official-says-input-from-allies-on-nuclear-posture-review-to-be-important/,,idate,
x,Defense Dept,"Border Barrier Money Returns, Ukraine Aid Package Announced",https://www.defense.gov/Explore/News/Article/Article/2655520/border-barrier-money-returns-ukraine-aid-package-announced/,,idate,
x,HHS Dept,Four in Ten New Consumers Spend $10 or Less Per Month for HealthCare.Gov Coverage Following Implementation of American Rescue Plan Tax Credits,https://www.hhs.gov/about/news/2021/06/14/four-ten-new-consumers-spend-10-or-less-month-healthcaregov-coverage-following-implementation-american-rescue-plan-tax-credits.html,notes,14-Jun-21,
x,HUD Dept,HUD Awards $1.1 Billion in American Rescue Plan Funds for Emergency Housing Vouchers,/press/press_releases_media_advisories/HUD_No_21_099,notes,"Thursday, June 10, 2021
HUD Awards $1.1 Billion in American Rescue Plan Funds for Emergency Housing Vouchers",
x,HUD Dept,HUD Restores Affirmatively Furthering Fair Housing Requirement,/press/press_releases_media_advisories/HUD_No_21_098,notes,"Thursday, June 10, 2021
HUD Restores Affirmatively Furthering Fair Housing Requirement",
,HUD Dept,HUD Kicks Off National Healthy Homes Month 2021,/press/press_releases_media_advisories/HUD_No_21_097,notes,"Friday, June 4, 2021
HUD Kicks Off National Healthy Homes Month 2021",
x,Interior Dept,Biden-Harris Administration Proposes Competitive Lease Sale for Offshore Wind Development for New York and New Jersey,https://www.doi.gov/pressreleases/biden-harris-administration-proposes-competitive-lease-sale-offshore-wind-development,"In support of the Biden-Harris administration’s goal of installing 30 gigawatts of offshore wind energy by 2030, the Department of the Interior today announced  a proposed sale for offshore wind development on the Outer Continental Shelf (OCS) in the New York Bight – an area of shallow waters between Long Island and the New Jersey coast.",6/11/2021,
x,Interior Dept,Interior Department to Explore Offshore Wind Potential in the Gulf of Mexico,https://www.doi.gov/pressreleases/interior-department-explore-offshore-wind-potential-gulf-mexico,The Department of the Interior today announced its intent to assess potential opportunities to advance clean energy development on the Gulf of Mexico Outer Continental Shelf (OCS).,6/8/2021,
,Interior Dept,"Interior Department’s Fiscal Year 2022 Budget Makes Significant Investments in Racial Equity, Civil Rights Movement Preservation",https://www.doi.gov/pressreleases/interior-departments-fiscal-year-2022-budget-makes-significant-investments-racial,"As part of the Biden-Harris administration’s whole-of-government approach to advancing equity and justice, the Department of the Interior’s 2022 budget proposal contains major investments in initiatives that advance racial equity and tell the stories of historically underrepresented communities and the struggle for civil rights. ",6/7/2021,
,Interior Dept,"Secretary Haaland Promotes Outdoor Recreation, Designates Ten New National Recreation Trails",https://www.doi.gov/pressreleases/secretary-haaland-promotes-outdoor-recreation-designates-ten-new-national-recreation,"In celebration of National Trails Day on June 5, Secretary of the Interior Deb Haaland today announced 10 new national recreation trails in eight states, adding more than 160 miles to the National Trails System.",6/4/2021,
,Interior Dept,"President Biden’s Budget Invests $2.8 Billion to Support Economies, Outdoor Recreation and Access to Public Lands",https://www.doi.gov/pressreleases/president-bidens-budget-invests-28-billion-support-economies-outdoor-recreation-and,"Today, the Departments of the Interior and Agriculture announced their proposed Fiscal Year 2022 allocations of $2.8 billion in projects, grants and programs authorized in the Great American Outdoors Act (GAOA) to support economies, outdoor recreation, and access to public lands.  ",6/3/2021,
,State Dept,Secretary Blinken’s Call with Israeli Alternate Prime Minister and Foreign Minister Lapid,https://www.state.gov/secretary-blinkens-call-with-israeli-alternate-prime-minister-and-foreign-minister-lapid/,,13-Jun-21,
,State Dept,Secretary Antony J. Blinken and Albanian Prime Minister Edi Rama at a Signing of a Memorandum of Understanding Between the  Government of the United States of America and the Council of Ministers of Republic of Albania on 4G and 5G Security,https://www.state.gov/secretary-antony-j-blinken-and-albanian-prime-minister-edi-rama-at-a-signing-of-a-memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-council-of-ministers-of/,,13-Jun-21,
x,State Dept,"Attack on Hospital in Afrin, Syria",https://www.state.gov/attack-on-hospital-in-afrin-syria/,,13-Jun-21,
,State Dept,Secretary Antony J. Blinken with John Dickerson of CBS’s Face the Nation,https://www.state.gov/secretary-antony-j-blinken-with-john-dickerson-of-cbss-face-the-nation,,13-Jun-21,
x,State Dept,Secretary Antony J. Blinken with Chris Wallace of Fox News Sunday,https://www.state.gov/secretary-antony-j-blinken-with-chris-wallace-of-fox-news-sunday,,13-Jun-21,
,State Dept,Secretary Antony J. Blinken on ABC’s This Week with Martha Raddatz,https://www.state.gov/secretary-antony-j-blinken-on-abcs-this-week-with-martha-raddatz/,,13-Jun-21,
,State Dept,Secretary Antony J. Blinken on CNN’s State of the Union with Dana Bash,https://www.state.gov/secretary-antony-j-blinken-on-cnns-state-of-the-union-with-dana-bash/,,13-Jun-21,
,State Dept,Secretary Blinken’s Meeting with Republic of Korea Foreign Minister Chung,https://www.state.gov/secretary-blinkens-meeting-with-republic-of-korea-foreign-minister-chung-3/,,12-Jun-21,
,State Dept,Russia National Day,https://www.state.gov/russia-national-day/,,12-Jun-21,
,State Dept,On the Occasion of the Official Birthday of Her Majesty Queen Elizabeth II,https://www.state.gov/on-the-occasion-of-the-official-birthday-of-her-majesty-queen-elizabeth-ii/,,12-Jun-21,
x,Treasury Dept,READOUT: Deputy Secretary of the Treasury Wally Adeyemo’s Roundtable Discussion with Businesses,/news/press-releases/jy0225,notes,11-Jun-21,
x,Treasury Dept,Remarks by Secretary of the Treasury Janet L. Yellen to the Financial Stability Oversight Council on LIBOR Transition,/news/press-releases/jy0224,notes,11-Jun-21,
,Treasury Dept,READOUT: Deputy Secretary of the Treasury Wally Adeyemo’s Call with Indonesian Finance Minister Sri Mulyani Indrawati,/news/press-releases/jy0223,notes,10-Jun-21,
,Treasury Dept,"Testimony of Secretary of the Treasury Janet L. Yellen to the Subcommittee on State, Foreign Operations, and Related Programs, U.S. House of Representatives",/news/press-releases/jy0222,notes,10-Jun-21,
,VA Dept,Community care optometrist committed to Veterans,https://blogs.va.gov/VAntage/89672/community-care-optometrist-committed-veterans/,notes,14-Jun-21,
,VA Dept,"VA, Prudential to host Wellness Wednesday Financial Education series",https://blogs.va.gov/VAntage/90057/va-prudential-host-wellness-wednesday-financial-education-series/,notes,14-Jun-21,
,VA Dept,"Borne the Battle #246: Navy Veteran Jonathan Kingham, Nashville and Operation Song Songwriter",https://blogs.va.gov/VAntage/90094/borne-battle-246-navy-veteran-jonathan-kingham-nashville-operation-song-songwriter/,notes,14-Jun-21,
