type,source,title,link,Notes,date,"To amend title 23, United States Code, to encourage affordable and accessible classroom-based driving instruction and behind-the-wheel training in highway safety programs, and for other purposes.","Query Working, No New Posts",Date
Government,White House,Remarks by President Biden After Marine One Arrival			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/02/remarks-by-president-biden-after-marine-one-arrival-14/,notes,"January 02, 2023",,,
Government,White House," ICYMI: President, Vice President, Senior Administration Officials To Kick Off 2023 Highlighting Impact of President’s Economic Plan, Including Bipartisan Infrastructure Law			",https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/02/icymi-president-vice-president-senior-administration-officials-to-kick-off-2023-highlighting-impact-of-presidents-economic-plan-including-bipartisan-infrastructure-law/,notes,"January 02, 2023",,,
Government,White House,Statement from President Joe Biden on the 160th Anniversary of the Emancipation Proclamation			,https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/01/statement-from-president-joe-biden-on-the-160th-anniversary-of-the-emancipation-proclamation/,notes,"January 01, 2023",,,
Government,Supreme Court,title,ilink,No New Cases,idate,,,
Government,Congress,,https://www.congress.gov/bill/117th-congress/house-bill/9704?s=1&r=1,,12/27/2022,title,,
Government,USDA,Statement by Agriculture Secretary Tom Vilsack Following the Swearing in of Alexis Taylor to Serve as Under Secretary of Trade and Foreign Agricultural Affairs,https://www.usda.gov/media/press-releases/2022/12/29/statement-agriculture-secretary-tom-vilsack-following-swearing,,"Dec 29, 2022",,,
Government,IRS,"Treasury, IRS provide updated guidance on accounting methods for specified research or experimental expenditures",https://www.irs.gov//newsroom/treasury-irs-provide-updated-guidance-on-accounting-methods-for-specified-research-or-experimental-expenditures,"IR-2022-235, December 29, 2022 — The Treasury Department and Internal Revenue Service today issued Revenue Procedure 2023-11 providing updated guidelines for accounting method changes for specified research or experimental expenditures.",,,,"December 29, 2022"
Government,Commerce Dept,"Building on a Year of Progress, FirstNet Authority Looks to Public Safety to Drive Future Growth
",https://www.commcerce.gov/news/blog/2022/12/building-year-progress-firstnet-authority-looks-public-safety-drive-future-growth,,"December 30, 2022",,"By Lisa Casias, Acting CEO, First Responder Network Authority (FirstNet Authority) 2022 was another banner year for public safety and their network — FirstNet. The network now provides over 4 million connections serving more than 23,000 public safety agencies and organizations. And it continues to bring innovation and special features to public safety users, offering more than 200 unique apps and...",
Government,Defense Dept,"Contracts for Dec. 30, 2022",https://www.defense.gov/News/Contracts/Contract/Article/3256832//,,"Dec. 30, 2022",,,
Government,Ed Dept, U.S. Secretary of Education Miguel Cardona Statement on Fiscal Year 2023 Omnibus Appropriations ,/news/press-releases/us-secretary-education-miguel-cardona-statement-fiscal-year-2023-omnibus-appropriations," Today, U.S. Secretary of Education Miguel Cardona issued the following statement on Fiscal Year 2023 Omnibus Appropriations: ","January 3, 2023",,,
Government,Energy Dept,DOE Proposes New Efficiency Standards For Distribution Transformers,https://www.energy.gov/articles/doe-proposes-new-efficiency-standards-distribution-transformers,"Query Working, No New Posts","December 28, 2022",,,
