type,source,title,link,Notes,date
Headline,Reuters Biz,"CarMax results hit by 'used-vehicle recession'; buyback paused, article with imageAutos & Transportationcategory · December 22, 2022 · 5:36 PM UTCUsed-car retailer CarMax Inc said on Thursday it was pausing some hiring, halting share buybacks and cutting expenses after reporting an 86% drop in third-quarter profit as the industry struggles to offload inventory amid waning demand.",https://www.reuters.comNone,notes,idate
Headline,Reuters Biz,"VideoEXPLAINERExplainer: How did Bankman-Fried secure $250 mln bail?, article with video10:15 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Biz,"Autos & TransportationcategoryTesla shares tumble, on track for worst month ever, article with image6:53 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Biz,"VideoAutos & TransportationcategoryTesla shares tank after doubling U.S. discounts on key models, article with video9:01 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Biz,"GalleryWorld at WorkcategoryBanker bonuses go from boom to bust in jarring reversal, article with gallery6:06 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Biz,"MarketscategoryWall Street tumbles on rate, recession worries, bleak chipmaker outlook, article with image9:35 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Biz,"Autos & TransportationcategoryElon Musk says he will not sell more Tesla stock for another two years, article with image11:11 PM UTC . Updated undefined ago",https://www.reuters.comNone,notes,idate
Headline,Reuters Biz,"Retail & ConsumercategoryTarget recalls children's weighted blankets after two deaths, article with image8:47 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"Twitter's top global policy official departs as layoffs continue, article with imageTechnologycategory · December 22, 2022 · 8:17 PM UTCTwitter Inc's public policy chief has left the company amid additional layoffs to the unit on Thursday, sources familiar with the matter told Reuters, as billionaire owner Elon Musk continues to slash costs.",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"VideoLegalcategoryFTX's Bankman-Fried, charged with 'epic' fraud, released on $250 million bond, article with video10:10 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"TechnologycategoryApple Watches violate AliveCor patents but import ban on hold -U.S. ITC, article with image11:01 PM UTC . Updated undefined ago",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"VideoTechnologycategoryExclusive: TikTok steps up efforts to clinch U.S. security deal, article with video10:06 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"TechnologycategoryFrance's privacy watchdog fines Microsoft over cookies, article with image6:48 AM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"TechnologycategoryU.S. SEC heightening scrutiny of auditors' crypto work - WSJ, article with image10:50 AM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"TechnologycategoryIndia panel recommends digital competition act to rein in Big Tech, article with image8:45 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters Tech,"VideoTechnologycategoryEU should put Twitter under direct supervision after missteps: German official, article with video8:45 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"GalleryPutin says Russia wants end to war in Ukraine, article with galleryEuropecategory · December 22, 2022 · 9:55 PM UTCPresident Vladimir Putin said on Thursday that Russia wants an end to the war in Ukraine and that this would inevitably involve a diplomatic solution.",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"VideoChinacategoryShanghai hospital warns of 'tragic battle' as COVID spreads, article with video5:35 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"WorldcategoryExclusive: US says Russia's Wagner Group bought North Korean weapons for Ukraine war, article with image9:13 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"ChinacategoryChina COVID deaths probably running above 5,000 per day - UK research firm Airfinity, article with image11:28 AM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"EuropecategoryGermany arrests intelligence service employee suspected of spying for Russia, article with image6:50 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"VideoAsia PacificcategoryTaliban minister defends closing universities to women as global backlash grows, article with video7:27 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"WorldcategoryPope denounces psychological abuse as Jesuit case rocks Church, article with image12:10 PM UTC",https://www.reuters.comNone,notes,idate
Headline,Reuters World,"VideoUnited StatescategoryArctic 'bomb cyclone' threatens holiday travel for millions of Americans, article with video10:36 PM UTC . Updated undefined ago",https://www.reuters.comNone,notes,idate
