type,source,title,link,Notes,date
Headline,AP Biz,Data List Empty,,,
Headline,AP Health,Data List Empty,,,
Headline,AP Politics,Pence unveils Republican policy agenda for midterm elections,https://www.apnews.com/article/2022-midterm-elections-immigration-business-campaigns-presidential-elections-f6e52e26f6a164b2f9299bbaced7e79e,notes,idate
Headline,AP Politics,COVID pandemic’s end may bring turbulence for US health care,https://www.apnews.com/article/covid-health-business-coronavirus-vaccine-medicaid-fbb66b72937f3517a5d3d1ba8840f339,notes,idate
Headline,AP Politics,Biden taps oil reserve for 6 months to control gas prices,https://www.apnews.com/article/russia-ukraine-biden-business-europe-3e1808077371b88ae043c86584763afd,notes,idate
Headline,AP Politics,McConnell says COVID spending package could shrink to $10B,https://www.apnews.com/article/covid-business-health-mitch-mcconnell-congress-114395b025c51fc46c4d6a8e998119d5,notes,idate
Headline,AP Politics,Biden to mark Transgender Day of Visibility with new actions,https://www.apnews.com/article/biden-travel-lifestyle-ac02c7bc5646f451d8cc49b05a22be80,notes,idate
Headline,AP Politics,Congress hears sirens wail as Ukraine legislators visit,https://www.apnews.com/article/russia-ukraine-business-europe-asia-global-trade-7518cee1da8c51cf07979672c5b312a3,notes,idate
Headline,AP Politics,US airport security screening to become more gender-neutral,https://www.apnews.com/article/biden-health-business-lifestyle-transportation-a4b923c992a39ab0d310f692087cf605,notes,idate
Headline,AP Politics,White House: Intel shows Putin misled by advisers on Ukraine,https://www.apnews.com/article/russia-ukraine-putin-europe-00716c99579afeff701af31b32ef7c8c,notes,idate
Headline,AP Science,Data List Empty,,,
Headline,AP US,Data List Empty,,,
Headline,NYT,Data List Empty,,,
Headline,Politico,State budget could boost Adams' homelessness agenda,https://subscriber.politicopro.com/article/2022/03/state-budget-could-boost-adams-homelessness-agenda-00021679,"While state funds typically account for under 10 percent of the Department of Homeless Services spending, the percentage could be measurably greater this year. 
",03/31/22 10:53 AM EDT
Headline,Politico,NDIA taps Norquist as next president and CEO,https://subscriber.politicopro.com/article/2022/03/ndia-taps-norquist-as-next-president-and-ceo-00021993,"Norquist was the Pentagon’s No. 2 during the Trump administration.
",03/31/22 10:47 AM EDT
Headline,Politico,Michele Mital to become acting director of FDA's Center for Tobacco Products,https://subscriber.politicopro.com/article/2022/03/michele-mital-to-become-acting-director-of-fdas-center-for-tobacco-products-00021974,"Mital will step in when current director, Mitch Zeller, leaves the office in April.
",03/31/22 09:21 AM EDT
Headline,Politico,The West’s plan to keep global data flows alive,https://subscriber.politicopro.com/article/2022/03/the-wests-plan-to-keep-global-data-flows-alive-00021975,"Countries want to agree on common standards on government snooping to stave off mounting threats to cross-border data flows.
",03/31/22 08:43 AM EDT
Headline,Politico,World's largest electric cruise ship sets sail in China,https://subscriber.politicopro.com/eenews/article/eenews/2022/03/31/worlds-largest-electric-cruise-ship-sets-sail-in-china-00021824,"At 100 meters long and around 16 meters wide, the Yangtze River Three Gorges 1 can carry up to 1,300 passengers. 
",03/31/22 07:42 AM EDT
Headline,Politico,Abu Dhabi's Spanish refiner aims to be global hydrogen behemoth,https://subscriber.politicopro.com/eenews/article/eenews/2022/03/31/abu-dhabis-spanish-refiner-aims-to-be-global-hydrogen-behemoth-00021822,"In an attempt to differentiate itself from other European oil firms that have announced similar transitions, Madrid-based Cepsa will focus on developing energy for heavy transportation and industries.
",03/31/22 07:41 AM EDT
Headline,Politico,"Spain, Portugal emerge as 'energy island' in Europe's crisis",https://subscriber.politicopro.com/eenews/article/eenews/2022/03/31/spain-portugal-emerge-as-energy-island-in-europes-crisis-00021825,"Leaders in renewable energy thanks to solar, wind and hydraulic power, Spain and Portugal are now poised to reap the benefits of long-term investments in liquefied natural gas.
",03/31/22 07:41 AM EDT
Headline,Politico,Germany warns on Russian gas; Poland to end oil imports,https://subscriber.politicopro.com/eenews/article/eenews/2022/03/31/germany-warns-on-russian-gas-poland-to-end-oil-imports-00021811,"The German government said it was establishing a crisis team to step up monitoring of the gas supply and called on companies and households to conserve energy following demands by Russia that deliveries should be paid in rubles.
",03/31/22 07:40 AM EDT
Headline,Agriculture Dept,Data List Empty,,,
Headline,Reuters Legal,Data List Empty,,,
